sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b5c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:06 +0100,2019-02-14 07:23:05 +0100,2019-02-14 07:23:05 +0100,103
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b660>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:11 +0100,2019-02-14 07:23:08 +0100,2019-02-14 07:23:08 +0100,101
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b700>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:16 +0100,2019-02-14 07:23:15 +0100,2019-02-14 07:23:15 +0100,102
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b7a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:22 +0100,2019-02-14 07:23:17 +0100,2019-02-14 07:23:17 +0100,101
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b840>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:27 +0100,2019-02-14 07:23:21 +0100,2019-02-14 07:23:21 +0100,104
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b8e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:32 +0100,2019-02-14 07:23:30 +0100,2019-02-14 07:23:30 +0100,103
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6b980>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:37 +0100,2019-02-14 07:23:35 +0100,2019-02-14 07:23:35 +0100,97
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6ba20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:42 +0100,2019-02-14 07:23:37 +0100,2019-02-14 07:23:37 +0100,96
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bac0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:47 +0100,2019-02-14 07:23:45 +0100,2019-02-14 07:23:45 +0100,94
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bb60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:52 +0100,2019-02-14 07:23:46 +0100,2019-02-14 07:23:46 +0100,94
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bc00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:23:57 +0100,2019-02-14 07:23:54 +0100,2019-02-14 07:23:54 +0100,93
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bca0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:02 +0100,2019-02-14 07:23:56 +0100,2019-02-14 07:23:56 +0100,91
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bd40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:07 +0100,2019-02-14 07:24:05 +0100,2019-02-14 07:24:05 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bde0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:12 +0100,2019-02-14 07:24:06 +0100,2019-02-14 07:24:06 +0100,97
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6be80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:17 +0100,2019-02-14 07:24:12 +0100,2019-02-14 07:24:12 +0100,87
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6bf20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:22 +0100,2019-02-14 07:24:17 +0100,2019-02-14 07:24:17 +0100,90
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6c000>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:26 +0100,2019-02-14 07:24:25 +0100,2019-02-14 07:24:25 +0100,93
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6c0a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:31 +0100,2019-02-14 07:24:30 +0100,2019-02-14 07:24:30 +0100,100
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6c140>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:36 +0100,2019-02-14 07:24:34 +0100,2019-02-14 07:24:34 +0100,106
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6c1e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:41 +0100,2019-02-14 07:24:40 +0100,2019-02-14 07:24:40 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b6c280>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:24:46 +0100,2019-02-14 07:24:44 +0100,2019-02-14 07:24:44 +0100,95
